Source,Detector,Chroma,Condition,Variable,Value
FrontLeft,FrontLeft,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_p,0.174450849436876
FrontLeft,FrontLeft,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_q,0.232601132582501
FrontLeft,FrontLeft,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_tstat,1.37433099016967
FrontLeft,FrontLeft,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_beta,1.09424953952434
FrontLeft,FrontLeft,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_power,0.66559389840335
FrontLeft,FrontLeft,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_se,0.796205242660831
FrontLeft,FrontLeft,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_p,0.00199387554932141
FrontLeft,FrontLeft,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_q,0.00797550219728564
FrontLeft,FrontLeft,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_tstat,3.23273994266918
FrontLeft,FrontLeft,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_beta,0.463398562117409
FrontLeft,FrontLeft,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_power,0.938040032505378
FrontLeft,FrontLeft,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_se,0.143345450093581
FrontRight,FrontRight,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_p,0.0349643993642896
FrontRight,FrontRight,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_q,0.0699287987285791
FrontRight,FrontRight,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_tstat,2.15770377469138
FrontRight,FrontRight,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_beta,1.95305221989412
FrontRight,FrontRight,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_power,0.685654047394217
FrontRight,FrontRight,hbo,-Go:Group_Short+NoGo:Group_Short,ChannelStats_se,0.905153081160766
FrontRight,FrontRight,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_p,0.683134211414863
FrontRight,FrontRight,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_q,0.683134211414863
FrontRight,FrontRight,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_tstat,0.41018094395266
FrontRight,FrontRight,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_beta,0.0642916273634656
FrontRight,FrontRight,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_power,0.811213545554808
FrontRight,FrontRight,hbr,-Go:Group_Short+NoGo:Group_Short,ChannelStats_se,0.156739673822794
